TweetID,HandLabel,AnnotatorID
399745087418404864,Positive,19
399749348667691008,Neutral,19
399749474358415360,Neutral,19
399767939345555456,Positive,19
399768280938053632,Negative,19
399768510295179264,Neutral,19
399775240701489152,Neutral,19
399775240701489152,Neutral,19
399777715794235392,Negative,19
399780265545179137,Positive,19
399780265545179137,Positive,19
399780637336694785,Positive,19
399780899749130240,Positive,19
399782893632778240,Neutral,19
399783005235212288,Negative,19
399783782632669185,Positive,19
399784292282535936,Negative,19
399784373257797632,Neutral,19
399784373257797632,Positive,19
399784554611097600,Positive,19
399785149329838080,Positive,19
399785186487193600,Positive,19
399785658405101568,Negative,19
399786509492314112,Negative,19
399786746600501248,Negative,19
399786869703319552,Neutral,19
399787060963573760,Neutral,19
399787373472804864,Neutral,19
399787417412321280,Positive,19
399787670639239168,Neutral,19
399787670639239168,Neutral,19
399787813149097984,Neutral,19
399787862998405120,Neutral,19
399787862998405120,Neutral,19
399788065340022784,Neutral,19
399789439192678401,Negative,19
399789439192678401,Neutral,19
399789622517317632,Negative,19
399790096636850176,Neutral,19
399791501934227456,Negative,19
399791754884710400,Neutral,19
399791809746202624,Neutral,19
399792634732236800,Positive,19
399792839363944448,Neutral,19
399793357200711680,Positive,19
399794642935627776,Negative,19
399794665886875648,Negative,19
399794797528887296,Negative,19
399796112514891776,Neutral,19
399796128767430656,Neutral,19
399796234614870016,Negative,19
399796633887444992,Positive,19
399796762048622592,Positive,19
399797148713517056,Positive,19
399797148713517056,Negative,19
399797448014856192,Positive,19
399797488506257408,Negative,19
399797560224657408,Positive,19
399797560224657408,Positive,19
399797925686951936,Negative,19
399798728732573696,Neutral,19
399798916922626048,Negative,19
399798916922626048,Negative,19
399799735185588224,Neutral,19
399799776683651072,Neutral,19
399799948025544704,Neutral,19
399800654182350848,Positive,19
399800711615361024,Negative,19
399800889403117568,Positive,19
399801402270445568,Positive,19
399802183161360384,Negative,19
399802243622641664,Neutral,19
399802243622641664,Negative,19
399802792103383040,Negative,19
399803001361408001,Positive,19
399803166557884416,Positive,19
399804389600559104,Neutral,19
399804687429689344,Positive,19
399805136417353728,Neutral,19
399805396728049664,Positive,19
399805862078054400,Positive,19
399806329776128000,Neutral,19
399806392468385792,Neutral,19
399806744433401856,Neutral,19
399807005910896640,Positive,19
399807092850429952,Neutral,19
399807092850429952,Positive,19
399807122512175104,Positive,19
399807282344501248,Negative,19
399807780820770816,Negative,19
399807780820770816,Negative,19
399808507354284032,Neutral,19
399808634580131840,Positive,19
399808718944346113,Positive,19
399808871465627649,Neutral,19
399809141683679232,Positive,19
399809299423055872,Neutral,19
399809421540220928,Negative,19
399809588129587200,Negative,19
399809693339496448,Neutral,19
399810164469272576,Positive,19
399810436297551872,Neutral,19
399810801583681536,Positive,19
399811312898682880,Positive,19
399811967784738816,Positive,19
399811967784738816,Positive,19
399812848182099968,Neutral,19
399813135450005504,Negative,19
399813306111631360,Negative,19
399813398873243648,Neutral,19
399813590116360192,Positive,19
399813602850664448,Negative,19
399813780676169728,Neutral,19
399815789504913409,Negative,19
399816469560586240,Negative,19
399816664235012096,Negative,19
399816842757160960,Neutral,19
399816845542182912,Neutral,19
399816845542182912,Negative,19
399816969546788864,Negative,19
399817870630088705,Negative,19
399817870630088705,Negative,19
399818785772687360,Positive,19
399818790038298624,Neutral,19
399819137880719360,Neutral,19
399819321318203392,Positive,19
399822304064335872,Neutral,19
399824192138256384,Neutral,19
399824192138256384,Neutral,19
399824778233933824,Neutral,19
399824778233933824,Neutral,19
399824790556798976,Neutral,19
399825946515365889,Neutral,19
399825946515365889,Neutral,19
399826343602688000,Positive,19
399826855416848384,Positive,19
399827915291889664,Positive,19
399827944119750656,Negative,19
399828376091099136,Positive,19
399828855646466049,Positive,19
399829515280457728,Neutral,19
399830237623885824,Neutral,19
399830440355192832,Neutral,19
399831256336433152,Neutral,19
399831389136121856,Positive,19
399832286620696576,Positive,19
399832524139941888,Neutral,19
399832622865862656,Negative,19
399832622865862656,Negative,19
399832839941668864,Neutral,19
399833153407578112,Negative,19
399833153407578112,Negative,19
399833530718375937,Negative,19
399833923435253760,Positive,19
399833923435253760,Positive,19
399833992335077377,Positive,19
399834003072512000,Positive,19
399834183591133184,Positive,19
399834538517745664,Neutral,19
399835464493842432,Positive,19
399835529702699008,Positive,19
399835529702699008,Positive,19
399835951608127488,Positive,19
399836083888066560,Negative,19
399836672625754112,Negative,19
399836672625754112,Negative,19
399836691005190144,Negative,19
399836715030155264,Negative,19
399836734810501120,Positive,19
399837807981899776,Neutral,19
399837982636515328,Neutral,19
399838002878631936,Neutral,19
399838812022398976,Negative,19
399838915042889728,Positive,19
399838924052242435,Positive,19
399839246670123008,Negative,19
399839425112203265,Neutral,19
399839711889350656,Negative,19
399839711889350656,Negative,19
399840050797481984,Positive,19
399840284994846720,Negative,19
399840687010873344,Positive,19
399840752806940672,Positive,19
399840794162380801,Positive,19
399841017924300800,Neutral,19
399841017924300800,Neutral,19
399841216910880768,Neutral,19
399841628850225152,Positive,19
399841851089637376,Neutral,19
399842239905423360,Neutral,19
399842282729635840,Positive,19
399843047917092864,Neutral,19
399843049875836928,Neutral,19
399843313848971264,Positive,19
399843330705473536,Positive,19
399843444925153280,Positive,19
399843934459166720,Negative,19
399843934459166720,Negative,19
399844157529018368,Negative,19
399844300009504768,Positive,19
399844300009504768,Neutral,19
