TweetID,HandLabel,AnnotatorID
507453394475163648,Positive,65
507453394475163648,Positive,65
507465020704571392,Positive,65
507491246399815680,Neutral,65
507500187238273024,Neutral,65
507500742236983296,Positive,65
507504626766471168,Neutral,65
507509829879877634,Neutral,65
507510522703392769,Neutral,65
507510599295569920,Neutral,65
507517566685032448,Negative,65
507518454124257280,Positive,65
507521786326810624,Positive,65
507522504194531328,Neutral,65
507525123520217089,Positive,65
507528635998564352,Neutral,65
507528640436125696,Neutral,65
507528726289350656,Neutral,65
507528730387152896,Neutral,65
507528730387152896,Neutral,65
507528734552109057,Neutral,65
507529597622439937,Positive,65
507531278904614912,Positive,65
507531474309251073,Positive,65
507531632572522496,Positive,65
507533743439880192,Positive,65
507533743439880192,Positive,65
507541788807016448,Positive,65
507546016162127872,Positive,65
507548010897604608,Positive,65
507548916724670464,Positive,65
507548916724670464,Neutral,65
507549371815452672,Positive,65
507549371815452672,Positive,65
507549374730481664,Positive,65
507556362151555072,Positive,65
507556362151555072,Neutral,65
507558746214510592,Positive,65
507558746214510592,Positive,65
507560033824305153,Positive,65
507567602089357312,Positive,65
507567602089357312,Positive,65
507573858069921793,Positive,65
507574619264786433,Negative,65
507575890092388355,Negative,65
507575890092388355,Neutral,65
507579459939991552,Neutral,65
507579832251985920,Positive,65
507583373808656384,Positive,65
507588458110386176,Positive,65
507588458110386176,Positive,65
507590591392530432,Positive,65
507590591392530432,Positive,65
507595284558270465,Neutral,65
507596268416159744,Neutral,65
507597883013488640,Positive,65
507598871770312705,Positive,65
507602016755924992,Positive,65
507602160310157312,Positive,65
507607409775226880,Positive,65
507608901701746691,Neutral,65
507615762190565376,Positive,65
507615762190565376,Positive,65
507615807031898112,Neutral,65
507618541671960576,Positive,65
507622584918085632,Neutral,65
507622584918085632,Negative,65
507622703323299840,Positive,65
507626147346403328,Neutral,65
507631087460163585,Negative,65
507631551585075200,Positive,65
507636624599945216,Positive,65
507639586936217600,Neutral,65
507645705922818048,Neutral,65
507655067559010304,Negative,65
507656882304331776,Positive,65
507656882304331776,Positive,65
507763046698479616,Positive,65
507770244287725569,Positive,65
507770244287725569,Neutral,65
507770252466614273,Neutral,65
507771799791075328,Positive,65
507772330995499008,Positive,65
507773495686995968,Positive,65
507775742596640768,Positive,65
507778443279605760,Positive,65
507778616881459200,Positive,65
507787690679357440,Negative,65
507787690679357440,Negative,65
507795298136371200,Negative,65
507795576990466048,Positive,65
507800196856557569,Negative,65
507800196856557569,Positive,65
507801064935288832,Neutral,65
507806654490882048,Neutral,65
507808847902146560,Negative,65
507811352228802560,Neutral,65
507811352228802560,Positive,65
507815415670915072,Positive,65
